"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.6185519081174e-08,62,1007,2.48333163184809,"Circulatory system development "," http://amigo.geneontology.org/amigo/term/GO:0072359"," TNFRSF12A  SH2D2A  SLC12A2  TGFBR3  JMJD6  HIF1A  PPP1R16B  SMAD7  FGF9  RGCC  HOXA5  GLI3  CDKN1B  VEGFA  TFDP2  HES1  IL1A  NFE2L2  ERRFI1  MEF2D  GADD45A  CTH  F3  EPC1  CXCR4  NR4A1  SNAI1  CDKN1A  EREG  IL1B  LIF  KDM6B  BTG1  SPRY2  IL6  IL10  FGFBP1  THBS1  GATA6  CCDC40  SIK1  PLK2  DNAAF1  OTULIN  LMNA  VCAM1  TIPARP  ZC3H12A  SPRY1  HEY1  NKX3-1  CXCL8  S1PR1  JUNB  DDIT3  FOSL1  EGR3  SOCS3  FGF3  MB  NRARP  DLL1"
2.51159103017174e-08,68,1183,2.31844431628759,"Negative regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009968"," CRY1  PLAUR  GPRC5A  TGFBR3  PPP1R15A  RGS1  HIF1A  SMAD7  GLI3  PPIF  AREG  HBEGF  PDE4D  CBLB  IL1A  NFE2L2  ERRFI1  CTH  DUSP4  SNAI1  EREG  WNT1  IL1B  RGS13  RASL11B  LIF  DNAJB9  GSC  SPRY2  IL6  SKIL  IL10  THBS1  TOB1  IL19  RGS16  DYRK3  DUSP10  IGFBP3  ITPRIP  NR4A2  UBR1  LMNA  CAMK2N1  NLRP3  ATF3  PAQR3  ZC3H12A  SPRY1  CSF2  HEY1  NKX3-1  TMEM88  DDIT4  CXCL8  DDIT3  RNF152  HIC1  PER1  MYADM  SHISA2  SOCS3  SOCS1  INSIG1  NRARP  VASN  DLG5  DLL1"
2.63804602679354e-08,83,1604,2.08711428205188,"Negative regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048585"," CRY1  PLAUR  GPRC5A  SLC12A2  TGFBR3  PPP1R15A  RGS1  HIF1A  SMAD7  NAMPT  GLI3  PPIF  AREG  HBEGF  PDE4D  CBLB  IL1A  NFE2L2  ERRFI1  CTH  F3  NR4A3  DUSP4  SNAI1  EREG  WNT1  IL1B  RGS13  RASL11B  LIF  DNAJB9  GSC  SPRY2  IL6  SKIL  IL10  THBS1  TOB1  IL19  RGS16  DYRK3  DUSP10  PLK2  IGFBP3  ITPRIP  NR4A2  OTULIN  SAMSN1  UBR1  LMNA  CAMK2N1  NLRP3  ATF3  PAQR3  ZC3H12A  SPRY1  CSF2  HEY1  NKX3-1  SEMA6B  TMEM88  DDIT4  CXCL8  PTGER4  KLHL15  DDIT3  RNF152  HIC1  THBD  PER1  MYADM  SHISA2  SOCS3  SOCS1  INSIG1  SERPINB2  NRARP  CD247  VASN  DLG5  METRNL  DLL1  KIR2DL4"
5.06225840385404e-08,64,1099,2.34884729533221,"Response to cytokine "," http://amigo.geneontology.org/amigo/term/GO:0034097"," TNFRSF12A  SLC12A2  TFRC  TRAF4  CXCL2  GNAO1  OSM  HIF1A  SMAD7  MAP3K8  CCL7  CDKN1B  VEGFA  IL1A  CCL20  IL1R1  NFE2L2  CTH  ETV3  F3  RAD23B  CXCR4  CDKN1A  EREG  IL1B  EDN2  LIF  GFPT2  KRAS  SPRY2  IL6  SKIL  IL10  THBS1  RAB20  IL19  PIK3R1  TNFRSF21  ARID5B  OTULIN  CXCR5  VCAM1  IL20  IL24  CXCL3  ZC3H12A  IL3  CSF2  NFIL3  NKX3-1  CXCL8  S1PR1  JUNB  CLCF1  FOSL1  GPR35  SOCS3  SOCS1  IRS2  LRRC70  SERPINB2  FCAR  CCL4  CCL18"
5.77077098554571e-08,79,1521,2.09493416161281,"Cell motility "," http://amigo.geneontology.org/amigo/term/GO:0048870"," SLC7A9  SLC12A2  TGFBR3  FGF22  NTN4  CXCL2  CASS4  HIF1A  FAM83D  SMAD7  FGF9  RGCC  HAS1  HOXA5  GLI3  CCL7  PHACTR1  PTP4A1  VEGFA  HBEGF  HES1  CCL20  IL1R1  NFE2L2  GADD45A  F3  NR4A3  CXCR4  NR4A1  DBH  SNAI1  EREG  IL1B  SBDS  EDN2  BTG1  SPRY2  IL6  IL10  TUBB2A  FGFBP1  THBS1  CCDC40  DUSP10  PLK2  PIK3R1  TCTE1  IGFBP3  ARID5B  SLC7A11  JMY  NR4A2  CXCR5  LMNA  VCAM1  NLRP3  IL24  CXCL3  ZC3H12A  RHOBTB3  SEMA6B  DDIT4  CXCL8  SDC2  GPR183  S1PR1  PTGER4  RND1  KRT2  OLR1  THBD  EGR3  MYADM  IRS2  FGF3  LAMB3  DLG5  CCL4  CCL18"
5.77077098554571e-08,79,1521,2.09493416161281,"Localization of cell "," http://amigo.geneontology.org/amigo/term/GO:0051674"," SLC7A9  SLC12A2  TGFBR3  FGF22  NTN4  CXCL2  CASS4  HIF1A  FAM83D  SMAD7  FGF9  RGCC  HAS1  HOXA5  GLI3  CCL7  PHACTR1  PTP4A1  VEGFA  HBEGF  HES1  CCL20  IL1R1  NFE2L2  GADD45A  F3  NR4A3  CXCR4  NR4A1  DBH  SNAI1  EREG  IL1B  SBDS  EDN2  BTG1  SPRY2  IL6  IL10  TUBB2A  FGFBP1  THBS1  CCDC40  DUSP10  PLK2  PIK3R1  TCTE1  IGFBP3  ARID5B  SLC7A11  JMY  NR4A2  CXCR5  LMNA  VCAM1  NLRP3  IL24  CXCL3  ZC3H12A  RHOBTB3  SEMA6B  DDIT4  CXCL8  SDC2  GPR183  S1PR1  PTGER4  RND1  KRT2  OLR1  THBD  EGR3  MYADM  IRS2  FGF3  LAMB3  DLG5  CCL4  CCL18"
9.75446292283686e-08,54,861,2.52966557035397,"Positive regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008284"," TGFBR3  FGF22  TFRC  FOSL2  OSM  HIF1A  PPP1R16B  FGF9  NAMPT  GLI3  AREG  CDKN1B  VEGFA  HBEGF  HES1  IL1A  MEF2D  F3  NR4A3  NR4A1  CDKN1A  EREG  WNT1  IL1B  EDN2  LIF  KRAS  EGR4  IL6  IL10  FGFBP1  THBS1  GATA6  ICOSLG  VCAM1  ATF3  IL24  SPDYA  IL3  CSF2  NKX3-1  GPR183  S1PR1  SLC25A33  CLCF1  FOSL1  ERN1  EGR3  IRS2  FGF3  SERTAD1  NRARP  TOX  DLL1"
9.75446292283686e-08,60,1017,2.37959363714057,"Cellular response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071345"," TNFRSF12A  SLC12A2  TFRC  TRAF4  CXCL2  OSM  HIF1A  SMAD7  MAP3K8  CCL7  CDKN1B  VEGFA  IL1A  CCL20  IL1R1  NFE2L2  CTH  ETV3  F3  RAD23B  CXCR4  CDKN1A  EREG  IL1B  EDN2  LIF  GFPT2  KRAS  SPRY2  IL6  IL10  THBS1  RAB20  IL19  PIK3R1  TNFRSF21  ARID5B  OTULIN  CXCR5  VCAM1  IL20  IL24  CXCL3  ZC3H12A  IL3  CSF2  NFIL3  NKX3-1  CXCL8  S1PR1  JUNB  CLCF1  GPR35  SOCS3  SOCS1  IRS2  SERPINB2  FCAR  CCL4  CCL18"
1.05398005714561e-07,58,968,2.41671333127365,"Tube development "," http://amigo.geneontology.org/amigo/term/GO:0035295"," TNFRSF12A  SH2D2A  SLC12A2  TGFBR3  JMJD6  TRAF4  HIF1A  PPP1R16B  SMAD7  FGF9  RGCC  HOXA5  GLI3  AREG  VEGFA  HES1  IL1A  NFE2L2  ERRFI1  GADD45A  F3  CXCR4  NR4A1  SPDEF  CDKN1A  EREG  WNT1  IL1B  GZF1  EDN2  LIF  BTG1  KRAS  GSC  SPRY2  IL6  IL10  FGFBP1  THBS1  GATA6  CCDC40  PLK2  SLC7A11  DNAAF1  OTULIN  TIPARP  ZC3H12A  SPRY1  HEY1  GJB2  NKX3-1  CXCL8  S1PR1  JUNB  SP3  EGR3  NRARP  DLL1"
1.75494285063449e-07,65,1170,2.24078400830737,"Regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042325"," PLAUR  GPRC5A  FGF22  TFRC  TRAF4  SLC4A4  CASS4  OSM  HIF1A  EEF1A2  SMAD7  FGF9  RGCC  AREG  CDKN1B  VEGFA  HBEGF  PDE4D  HES1  CBLB  PLCL1  ERRFI1  GADD45A  ESRRB  INHBA  CDKN1A  EREG  WNT1  IL1B  LIF  CCNT1  KRAS  CCNH  SPRY2  IL6  THBS1  DUSP10  PIK3R1  IGFBP3  ITPRIP  RANBP2  SAMSN1  CAMK2N1  ATF3  IL20  IL24  PAQR3  SPDYA  ZC3H12A  SPRY1  IL3  CSF2  NKX3-1  MIDN  DDIT4  SYAP1  CLCF1  MYADM  TSPYL2  EFNA5  SOCS3  SOCS1  IRS2  FGF3  SERTAD1"
